"#","Name","Score"
"78","Neural Information Processing Systems (NIPS)","0.016"
"79","IEEE International Conference on Data Engineering (ICDE)","0.016"
"80","Conference on Computer Analysis of Images and Patterns (CAIP)","0.015"
"81","IEEE Computer","0.015"
"82","Asilomar Conference on Signals, Systems, and Computers","0.014"
"83","ACM Computing Surveys","0.014"
"84","The Visual Computer","0.013"
"85","IAPR International Workshop on Machine Vision Applications (MVA)","0.012"
"86","IEEE International Symposium on Biomedical Imaging: From Nano to Macro (ISBI)","0.012"
"87","Journal of Pattern Recognition and Artificial Intelligence (IJPRAI)","0.012"
"88","Artifical Intelligence for Human Computing","0.011"
"88","SIAM International Conference on Data Mining (SDM)","0.011"
"88","Web Search and Data Mining (WSDM)","0.011"
"88","IEEE Transactions on Knowledge and Data Engineering","0.011"
"92","EURASIP Journal on Image and Video Processing","0.011"
"93","Journal of Signal Processing Systems","0.011"
"94","IEEE Workshop on Multimedia Signal Processing","0.009"
"94","ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR)","0.009"
"94","Journal of Wireless and Mobile Computing (IJWMC)","0.009"
"94","Journal of Visualization and Computer Animation","0.009"
"98","TREC Video Retrieval Evaluation (TRECVID)","0.009"
"99","IEEE Transactions on Cybernetics","0.009"
"100","Multimedia Databases and Image Communication (MDIC)","0.008"
"100","Journal of Computer Science and Technology","0.008"
"102","Symposium on Designing Interactive Systems","0.008"
"102","Design, Automation, and Test in Europe (DATE)","0.008"
"102","Iberian Conference on Pattern Recognition and Image Analysis (IbPRIA)","0.008"
"102","Conference on Intelligent User Interfaces (IUI)","0.008"
"102","Frontiers of Information Technology & Electronic Engineering","0.008"
"102","IEEE Transactions on Affective Computing","0.008"
"108","Human Vision and Electronic Imaging (HVEI)","0.008"
"108","IEEE Transactions on Medical Imaging","0.008"
"110","Discrete Applied Mathematics","0.008"
"111","Workshop on Quality of Multimedia Experience (QoMEX)","0.008"
"112","IEEE Journal of Emerging and Selected Topics in Circuits and Systems","0.008"
"113","Gesture Workshop (GW)","0.007"
"113","Conference on Networking, Sensing and Control (ICNSC)","0.007"
"113","Machine Learning for Multimodal Interaction (MLMI)","0.007"
"113","Conference on Uncertainty in Artificial Intelligence (UAI)","0.007"
"113","IEEE Transactions on Geoscience and Remote Sensing","0.007"
"118","Conference on Digital Image Computing: Techniques and Applications (DICTA)","0.006"
"119","Communications of the ACM","0.006"
"120","IEEE Journal of Selected Topics in Signal Processing","0.006"
"121","Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA)","0.006"
"122","GCPR / DAGM Symposium for Pattern Recognition","0.006"
"122","Electronic Notes in Theoretical Computer Science (ENTCS)","0.006"
"124","Real-Time Imaging","0.006"
"125","Signal, Image and Video Processing","0.005"
"125","IEEE Transactions on Robotics","0.005"
"127","International Conference on Graph Transformation","0.005"
"127","Journal of Parallel and Distributed Computing","0.005"
"129","Journal of Digital Imaging","0.005"
"130","Joint Conference on Information Sciences (JCIS)","0.005"
"130","IAPR International Conference on Machine Learning and Data Mining in Pattern Recognition (MLDM)","0.005"
"132","Asian Conference on Pattern Recognition (ACPR)","0.005"
"132","Asia Information Retrieval Symposium (AIRS)","0.005"
"132","IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB)","0.005"
"132","Conference on Information and Knowledge Management (CIKM)","0.005"
"132","International Conference on Computational Science (ICCS)","0.005"
"132","IFIP TC5/WG5.3 Publications","0.005"
"132","ACM/IEEE Joint Conference on Digital Libraries (JCDL)","0.005"
"132","Pattern Recognition in Bioinformatics (PRIB)","0.005"
"132","IEEE International Conference on Robotics and Biomimetics (ROBIO)","0.005"
"132","Journal of Computer Assisted Radiology and Surgery","0.005"
"132","Computerized Medical Imaging and Graphics","0.005"
"132","EURASIP Journal on Audio, Speech, and Music Processing","0.005"
"132","IEEE Transactions on Biomedical Engineering","0.005"
"132","IEEE/ACM Transactions on Computational Biology and Bioinformatics","0.005"
"132","ACM Transactions on Knowledge Discovery from Data (TKDD)","0.005"
"147","IEEE Workshop on Signal Processing Systems (SiPS)","0.005"
"148","Artificial Intelligence","0.004"
"148","Journal of the ACM","0.004"
"150","Conference on Information Sciences, Signal Processing and their Applications (ISSPA)","0.004"
"151","Color Imaging Conference","0.004"
"152","3D Data Processing Visualization and Transmission (3DPVT)","0.004"
"152","American Federation of Information Processing Societies National Computer Conferences (AFIPS)","0.004"
"152","Artificial Intelligence and Pattern Recognition","0.004"
"152","Conference on Artificial Intelligence and Statistics (AISTATS)","0.004"
"152","Articulated Motion and Deformable Objects (AMDO)","0.004"
"152","Analysis and Modeling of Faces and Gestures (AMFG)","0.004"
"152","IEEE International Conference on Application-Specific Systems, Architectures, and Processors (ASAP)","0.004"
"152","Automatic Speech Recognition & Understanding (ASRU)","0.004"
"152","Aachener Symposium für Signaltheorie (ASST)","0.004"
"152","Advanced Video and Signal Based Surveillance (AVSS)","0.004"
"152","Modelling and Motion Capture Techniques for Virtual Environments (CAPTECH)","0.004"
"152","Conference on Computational Linguistics (COLING)","0.004"
"152","Canadian Conference on Computer and Robot Vision (CRV)","0.004"
"152","Computer Vision for Biomedical Image Applications (CVBIA)","0.004"
"152","Data Processing Clinic (DPC)","0.004"
"152","European Conference on Machine Learning (ECML)","0.004"
"152","Advances in Computer Graphics","0.004"
"152","IEEE Workshop on Detection and Recognition of Events in Video (EVENT)","0.004"
"152","Conference on Information Fusion (FUSION)","0.004"
"152","Workshop on Human Motion (HUMO)","0.004"
"152","Conference in IT & Application (ICITA)","0.004"
"152","Conference on Machine Learning (ICML)","0.004"
"152","Conference on Machine Learning and Applications (ICMLA)","0.004"
"152","Conference on Parallel Image Analysis (ICPIA)","0.004"
"152","Computer Science Conference (ICSC)","0.004"
"152","Conference on Image Processing, Computer Vision, & Pattern Recognition (IPCV)","0.004"
"152","International Parallel (and Distributed) Processing Symposium (IP(D)PS)","0.004"
"152","Workshop on Machine Learning for Signal Processing (MLSP)","0.004"
"152","North American Chapter of the Association for Computational Linguistics (NAACL)","0.004"
"152","BPRA International Conference on Pattern Recognition","0.004"
"152","Picture Coding Symposium (PCS)","0.004"
"152","IEEE Real-Time Systems Symposium (RTSS)","0.004"
"152","Theoretical Foundations of Computer Vision (TFCV)","0.004"
"152","Vision Modeling and Visualization (VMV)","0.004"
"152","Enformatika Conferences","0.004"
"152","IEEE Computer Graphics and Applications","0.004"
"152","Frontiers of Computer Science","0.004"
"152","Journal of Autonomous and Adaptive Communications Systems (IJAACS)","0.004"
"152","Journal of Image and Graphics","0.004"
"152","Information Fusion","0.004"
"152","Journal of Multimedia","0.004"
"152","Library Trends","0.004"
"152","Neural Networks","0.004"
"152","Pattern Analysis and Applications","0.004"
"152","ACM Transactions on Applied Perception (TAP)","0.004"
"152","IEEE Transactions on Intelligent Transportation Systems","0.004"
"152","Journal of Visual Languages and Computing","0.004"
"199","Advances in Digital Libraries (ADL)","0.003"
"199","ACM/IEEE International Conference on Distributed Smart Cameras (ICDSC)","0.003"
"199","Information Hiding","0.003"
"199","Media Watermarking, Security, and Forensics","0.003"
"199","Security, Steganography, and Watermarking of Multimedia Contents (SSWMC)","0.003"
"204","Eye Tracking Research & Application (ETRA)","0.003"
"204","IEEE Global Conference on Signal and Information Processing (GlobalSIP)","0.003"
"204","IEEE International Conference on Robotics and Automation (ICRA)","0.003"
"204","IEEE Transactions on Communications","0.003"
"208","IEEE International Conference on Document Analysis and Recognition (ICDAR)","0.003"
"208","Information Processing Letters","0.003"
"210","IEEE/ACM Transactions on Audio, Speech and Language Processing","0.003"
"211","Conference on Computer Communications and Networks (ICCCN)","0.003"
"211","International Conference on Digital Signal Processing (IC)DSP","0.003"
"211","IEEE Transactions on Broadcasting","0.003"
"214","IEEE/RJS International Conference on Intelligent RObots and Systems (IROS)","0.003"
"215","Advances in Computers","0.002"
"215","Journal on Document Analysis and Recognition (IJDAR)","0.002"
"215","Journal of Mathematical Imaging and Vision","0.002"
"218","Image Processing, Image Quality, Image Capture Systems Conference (PICS)","0.002"
"219","Computer Security Applications Conference (ACSAC)","0.002"
"219","Energy Minimization Methods in Computer Vision and Pattern Recognition (EMMCVPR)","0.002"
"219","Indian Conference on Computer Vision, Graphics & Image Processing (ICVGIP)","0.002"
"219","Symposium on Visual Computing (ISVC)","0.002"
"219","Multimedia & Security","0.002"
"219","Visualization for Computer Security (VizSEC)","0.002"
"219","Bioinformatics","0.002"
"219","BMC Bioinformatics","0.002"
"219","IEEE Data(base) Engineering Bulletin","0.002"
"219","D-Lib Magazine","0.002"
"219","Journal of the Association for Information Science and Technology (JAsIST)","0.002"
"219","SIGMOD Record","0.002"
"219","ACM Transactions on Sensor Networks (TOSN)","0.002"
"232","Data Compression Conference (DCC)","0.002"
"232","BMC Medical Imaging","0.002"
"232","The Computer Journal","0.002"
"232","Journal of Real-Time Image Processing","0.002"
"232","IEEE Signal Processing Magazine","0.002"
"232","IEEE Transactions on Education","0.002"
"232","IEEE Journal of Biomedical and Health Informatics","0.002"
"239","IEEE Symposium on Computational Intelligence and Data Mining (CIDM)","0.002"
"239","IEEE International Conference on Communications (ICC)","0.002"
"239","IEEE International Joint Conference on Neural Network (IJCNN)","0.002"
"239","IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks (SECON)","0.002"
"239","Concurrency and Computation: Practice and Experience","0.002"
"239","Journal of Medical Systems","0.002"
"239","Journal of Software","0.002"
"239","IEEE Transactions on Industrial Informatics","0.002"
"247","Symposium on Computational Geometry","0.001"
"247","Dagstuhl Publications","0.001"
"247","Digital Image Processing Systems","0.001"
"247","Document Recognition and Retrieval (DRR)","0.001"
"247","Colloquium on Automata, Languages and Programming (ICALP)","0.001"
"247","IFIP World Computer Congress","0.001"
"247","Signal and Image Processing (SIP)","0.001"
"247","Workshop on Structural and Syntactic Pattern Recognition (SSPR)","0.001"
"247","Symposium on the Theory of Computing (STOC)","0.001"
"247","Electronic Notes in Discrete Mathematics","0.001"
